SL,Name,Scope
54,International Journal of Pavement Engineering,"      Pavement Engineering is important for facilitating national and international movement of people, services, and goods. Building and preserving efficient, reliable, and sustainable highway and airport pavement systems is crucial for economic and social development.The International Journal of Pavement Engineering is dedicated to the publication of cutting edge research and development in such important types of structures and facilities, including advanced analytical and computational techniques and pavement mechanics; material characterization and innovative laboratory testing techniques, non-destructive testing and evaluation; novel design approaches and their implementation; construction techniques and strategies; rehabilitation, preservation, and maintenance strategies and approaches; bound and unbound pavement performance; pavement life cycle assessment and life cycle cost analysis; pavement management systems. The Journal publishes the latest research findings from all over the world as well as case studies. Hence, one of the journal aims is to bring together and disseminate results of advanced research and its implementation across the world. Occasionally, the journal publishes state-of-the-art reviews on pavement engineering aiming to transfer advanced pavement understanding to the international user community as well as special issues focusing on subjects of importance and interest to the pavement community.        "
55,Bulletin of the New Zealand Society for Earthquake Engineering,"      Papers in The Bulletin cover the full spectrum from seismology and geology through to applied earthquake engineering, including:Studies of major historical earthquakesReconnaissance reports of recent earthquake events around the worldTechnical papers which examine aspects of design and the performance of materialsRetrofitting and upgrading issuesThe Bulletinoffers scientific excellence at an affordable cost. Its editorial policy is to offer:Peer reviewed articlesLow costPrompt publicationArticles for a broad readershipThe Bulletin is included in the membership fee (see Join), or is available separately by subscription (See Subscriptions). The Bulletin plays an important role in furthering the advancement of the science and practice of earthquake engineering, and provides a forum for the exchange of ideas and expertise.        "
56,Journal of Water Resources Planning and Management - ASCE,"      The Journal of Water Resources Planning and Management reports on all phases of planning and management of water resources. The papers examine social, economic, environmental, and administrative concerns relating to the use and conservation of water. Social and environmental objectives in areas such as fish and wildlife management, water-based recreation, and wild and scenic river use are assessed. Developments in computer applications are discussed, as are ecological, cultural, and historical values.        "
57,Structural Concrete,"      Structural Concrete, the official journal of the fib, provides conceptual and procedural guidance in the field of concrete construction, and features peer-reviewed papers, keynote research and industry news covering all aspects of the design, construction, performance in service and demolition of concrete structures.Main topics:design, construction, performance in service, conservation (assessment, maintenance, strengthening) and demolition of concrete structuresresearch about the behaviour of concrete structuresdevelopment of design methodsfib Model Codesustainability of concrete structures.        "
58,Magazine of Concrete Research,"      For concrete and other cementitious derivatives to be developed further, we need to understand the use of alternative hydraulically active materials used in combination with plain Portland Cement, sustainability and durability issues.  Both fundamental and best practice issues need to be addressed.Magazine of Concrete Research covers every aspect of concrete manufacture and behaviour from performance and evaluation of constituent materials to mix design, testing, durability, structural analysis and composite construction.        "
59,Smart Materials and Structures,"      Smart Materials and Structures (SMS) is a multi-disciplinary engineering journal that explores the creation and utilization of novel forms of transduction. It is a leading journal in the area of smart materials and structures, publishing the most important results from different regions of the world, largely from Asia, Europe and North America. The results may be as disparate as the development of new materials and active composite systems, derived using theoretical predictions to complex structural systems, which generate new capabilities by incorporating enabling new smart material transducers. The theoretical predictions are usually accompanied with experimental verification, characterizing the performance of new structures and devices. These systems are examined from the nanoscale to the macroscopic. SMS has a Board of Associate Editors who are specialists in a multitude of areas, ensuring that reviews are fast, fair and performed by experts in all sub-disciplines of smart materials, systems and structures.A smart material is defined as any material that is capable of being controlled such that its response and properties change under a stimulus. A smart structure or system is capable of reacting to stimuli or the environment in a prescribed manner. SMS is committed to understanding, expanding and dissemination of knowledge in this subject matter.         "
60,Structural Design of Tall and Special Buildings,"      The Structural Design of Tall and Special Buildings provides structural engineers and contractors with a detailed written presentation of innovative structural engineering and construction practices for tall and special buildings. It also presents applied research on new materials or analysis methods that can directly benefit structural engineers involved in the design of tall and special buildings. The editor's policy is to maintain a reasonable balance between papers from design engineers and from research workers so that the Journal will be useful to both groups. The problems in this field and their solutions are international in character and require a knowledge of several traditional disciplines and the Journal will reflect this.The main subject of the Journal is the structural design and construction of tall and special buildings. The basic definition of a tall building, in the context of the Journal audience, is a structure that is equal to or greater than 50 meters (165 feet) in height, or 14 stories or greater. A special building is one with unique architectural or structural characteristics.However, manuscripts dealing with chimneys, water towers, silos, cooling towers, and pools will generally not be considered for review. The journal will present papers on new innovative structural systems, materials and methods of analysis.        "
61,International Journal of Pavement Research and Technology,"      The objective of the International Journal of Pavement Research and Technology is to provide a platform to promote exchange of ideas among pavement engineering communities around the world. The journal attempts to disseminate information on all aspects of pavement engineering and technology developed through research and practical experiences.The journal is published bi-monthly, in January, March, May, July, September, and November each year (six issues in each volume). Contributions in the form of research paper, review, or discussions will be considered for publication. To cover a wide range of pavement engineering disciplines and industrial applications, the journal includes the following topics:Advanced analytical and computational techniques in pavement engineeringPavement mechanics and pavement designPavement construction, performance, management, maintenance, and rehabilitation techniquesPavement materialsPavement recyclingPavement surface and subsurface drainageEnvironmental issues associated with pavement materials and constructionAccelerated and full-scale pavement testingNon-destructive testingInnovative design method and practicePavement-vehicle interaction and safety issuePavement PreservationPavement InstrumentationCovers all aspects of pavement engineering and technologyPublishes research papers, review articles, and discussionsProvides a great platform to promote exchange of ideas among pavement engineering communities around the world.        "
62,Probabilistic Engineering Mechanics,"      This journal provides a forum for scholarly work dealing primarily with probabilistic and statistical approaches to contemporary solid/structural and fluid mechanics problems encountered in diverse technical disciplines such as aerospace, civil, marine, mechanical, and nuclear engineering. The journal aims to maintain a healthy balance between general solution techniques and problem-specific results, encouraging a fruitful exchange of ideas among disparate engineering specialities.        "
63,Archives of Civil and Mechanical Engineering,"      Archives of Civil and Mechanical Engineering publishes both theoretical and experimental original research articles which explore or exploit new ideas and techniques in three main areas: structural engineering, mechanics of materials and materials science. The aim of the journal is to advance science related to structural engineering focusing on structures, machines and mechanical systems. The journal also promotes advancement in the area of mechanics of materials, by publishing most recent findings in elasticity, plasticity, rheology, fatigue and fracture mechanics. The third area the journal is concentrating on is materials science, with emphasis on metals, composites, etc., their structures and properties as well as methods of evaluation. In addition to research papers, the Editorial Board welcomes state-of-the-art reviews on specialized topics. All such articles have to be sent to the Editor-in-Chief before submission for pre-submission review process. Only articles approved by the Editor-in-Chief in pre-submission process can be submitted to the journal for further processing. Approval in pre-submission stage doesn't guarantee acceptance for publication as all papers are subject to a regular referee procedure. Archives of Civil and Mechanical Engineering does not accept manuscripts containing: • Simulation with no experimental verification and/or which gives no new insight into the process. • The analysis of material properties or product performance without reference to the processing which caused them or their application. Archives of Civil and Mechanical Engineering (ACME) is an official journal of Wrocław University of Science Technology.        "
64,Earthquake Engineering and Engineering Vibration,"      It promotes scientific exchange between Chinese and foreign scientists and engineers, to improve the theory and practice of earthquake hazards mitigation, preparedness, and recovery.To accomplish this purpose, the journal aims to attract a balance of Chinese and international authors by publishing original and invited papers addressing the latest theories and applications of interest to earthquake engineering communities, both in China and other countries. The journal has a special interest in encouraging joint authorship between Chinese and foreign contributors such as that resulting from the PRC - US cooperative research projects.The following is a list of some subject areas describing the scope of the journal:Evaluation of damage to structures and engineering systems resulting from recent earthquakesNew observations of strong motion characteristics and data processing techniquesSeismic risk and hazard analysis of civil infrastructure systemsSite effects on structures and geotechnical earthquake engineeringSeismic behavior and design criteria for buildings and lifeline systemsAdvances in structural dynamics relevant to earthquake engineeringTheory and practice of health monitoring for structures under extreme loading.Seismic retrofit strategies for existing infrastructure systemsStructural response modification using emerging control technologies and high performance materialsEngineering structural vibration under wind, wave and other dynamic loading.        "
65,Structures,"      Structures aims to publish internationally-leading research across the full breadth of structural engineering. Papers for Structures are particularly welcome in which high-quality research will benefit from wide readership of academics and practitioners such that not only high citation rates but also tangible industrial-related pathways to impact are achieved.Structures seeks papers in areas relating to materials, structural mechanics, structural engineering, structural design, construction engineering, structural innovation, extreme events, sustainability, performance-based design, architectural topics that impact structural performance and other related areas. Structures actively encourages the use of electronic media to augment presentation.        "
66,Sustainable and Resilient Infrastructure,
67,"Engineering Science and Technology, an International Journal","      Engineering Science and Technology, an International Journal (JESTECH) (formerly Technology), a peer-reviewed quarterly engineering journal, publishes both theoretical and experimental high quality papers of permanent interest, not previously published in journals, in the field of engineering and applied science which aims to promote the theory and practice of technology and engineering. In addition to peer-reviewed original research papers, the Editorial Board welcomes original research reports, state-of-the-art reviews and communications in the broadly defined field of engineering science and technology.The scope of JESTECH includes a wide spectrum of subjects including:-Electrical/Electronics and Computer Engineering (Biomedical Engineering and Instrumentation; Coding, Cryptography, and Information Protection; Communications, Networks, Mobile Computing and Distributed Systems; Compilers and Operating Systems; Computer Architecture, Parallel Processing, and Dependability; Computer Vision and Robotics; Control Theory; Electromagnetic Waves, Microwave Techniques and Antennas; Embedded Systems; Integrated Circuits, VLSI Design, Testing, and CAD; Microelectromechanical Systems; Microelectronics, and Electronic Devices and Circuits; Power, Energy and Energy Conversion Systems; Signal, Image, and Speech Processing)-Mechanical and Civil Engineering (Automotive Technologies; Biomechanics; Construction Materials; Design and Manufacturing; Dynamics and Control; Energy Generation, Utilization, Conversion, and Storage; Fluid Mechanics and Hydraulics; Heat and Mass Transfer; Micro-Nano Sciences; Renewable and Sustainable Energy Technologies; Robotics and Mechatronics; Solid Mechanics and Structure; Thermal Sciences)-Metallurgical and Materials Engineering (Advanced Materials Science; Biomaterials; Ceramic and Inorgnanic Materials; Electronic-Magnetic Materials; Energy and Environment; Materials Characterizastion; Metallurgy; Polymers and Nanocomposites)        "
68,"Research in Engineering Design - Theory, Applications, and Concurrent Engineering","      Research in Engineering Design is an international journal that publishes research papers on design theory and methodology in all fields of engineering, focussing on mechanical, civil, architectural, and manufacturing engineering. The journal is designed for professionals in academia, industry and government interested in research issues relevant to design practice. Papers emphasize underlying principles of engineering design and discipline-oriented research where results are of interest or extendible to other engineering domains. General areas of interest include theories of design, foundations of design environments, representations and languages, models of design processes, and integration of design and manufacturing. Representative topics include functional representation, feature-based design, shape grammars, process design, redesign, product data base models, and empirical studies. The journal also publishes state-of-the-art review articles.        "
69,Underground Space (China),"      The planning, design, construction and maintenance of underground space plays a very important role in the global sustainable development due to the huge worldwide demand of infrastructure to accommodate the growing urbanised populations and the numerous renewal of aged facilities. Innovation is the main driving force in underground space engineering for both developing and developed countries. Although the primitive development of underground space in human history can be traced back over hundreds of years, the utilization of the invaluable underground resources has not yet reached a satisfactory state, and a long way ahead remains from perfection in the coming decades.        "
70,Journal of Hydraulic Engineering,"      The Journal of Hydraulic Engineering accepts original contributions that describe the analysis and solutions of problems in hydraulic engineering. Technical Notes may present a problem, without solution, of common interest. Topics range from flows in closed conduits to free-surface flows (canals, rivers, lakes, and estuaries) to environmental fluid dynamics. Topics include transport processes involving fluids (multiphase flows) such as sediment and contaminant transport, and heat and gas transfers. Emphasis is placed on the presentation of concepts, methods, techniques, and results that advance knowledge and/or are suitable for general application in the hydraulic engineering profession.        "
71,International Journal of Concrete Structures and Materials,"      The International Journal of Concrete Structures and Materials (IJCSM) provides a forum targeted for engineers and scientists around the globe to present and discuss various topics related to concrete, concrete structures and other applied materials incorporating cement cementitious binder, and polymer or fiber in conjunction with concrete. These forums give participants an opportunity to contribute their knowledge for the advancement of society. Topics include, but are not limited to, research results onProperties and performance of concrete and concrete structuresAdvanced and improved experimental techniquesLatest modelling methodsPossible improvement and enhancement of concrete propertiesStructural and microstructural characterizationConcrete applicationsFiber reinforced concrete technologyConcrete waste management.        "
72,Cartography and Geographic Information Science,"      Articles must build on previous research and demonstrate for instance why a ‘good’ new map is a better map than the established practice, basing the evaluation on some form of user testing. Or, how results of a new algorithm to calculate some property are improved in some quantifiable or conclusive manner. Historical papers are considered if original sources are presented and are not just reminiscences or indirect observations. Other articles may apply mathematical analysis for projections and other spatial properties. The mathematics and analysis must be rigorous and logically presented, with attention to reproducibility. In support of reproducibility for all kinds of work, the journal requires that data and software used in the analysis be deposited in a repository that complies with the Open + FAIR policies of the COPDESS consortium.Of course, the most innovative articles may have no precedent, but then they must fully prove their point with careful scholarship about the nature of the innovation. The field of geographic information science is broad. The Journal focuses on the analytical output of a geographic information system, rather than its source material. Therefore, CaGIS does not encourage studies that report on data acquisitions as the primary focus. By contrast, analysis of the gaps in coverage of any data source or demonstration of a new procedure would fit quite well.        "
73,Fusion Science and Technology,"      Fusion Science and Technology   aims to be the leading source of timely information on fusion research. We publish technical papers, technical notes, critical reviews, rapid communications, book reviews, and letters to the editor on fusion applications, design, and system studies.Technical papers present archival, original contributions to the field of knowledge.Technical notes describe preliminary results or limited extensions of previously reported work.Critical reviews combine a focused topical overview with an extensive literature review to critically evaluate the state-of-the-art, but do not necessarily add new knowledge to the field.Rapid communications provide speedy publication, after accelerated review and processing, of innovative work of high and immediate interest to the journal readership.Book reviews give an overview of a recently published book, including a brief summary and statement of value to the community.Letters to the editor provide an expeditious medium for comments on editorial policies and for discussions on the content of other contributions.We welcome submissions that explore the following topics:-Fusion plasma physics-Fusion plasma engineering-Fusion plasma–enabling science and technology-Fusion nuclear technology and material science-Plasma and fusion energy physics-Tokamak experiments-Stellarators-Next-step burning plasma experiments-Target fabrication and technology for inertial confinement fusion-Inertial fusion science and applications-Tritium science and technology-Magnetic and inertial fusion energy reactor studies-Heating and current drive physics and technology-Plasma control-Plasma diagnostics.Once your article has been assessed for suitability by the editor, it will be single-blind peer reviewed by expert referees.        "
74,ACI Materials Journal,"      This peer-reviewed journal continues the publishing tradition the Institute started in 1904. Information published in ACI Materials Journal includes: properties of materials used in concrete; research on materials and concrete; properties, use, and handling of concrete.        "
75,Mechanics of Advanced Materials and Structures,"      The central aim of Mechanics of Advanced Materials and Structures  ( MAMS) is to promote the dissemination of significant developments and publish state-of-the-art reviews and technical discussions of previously published papers dealing with mechanics aspects of advanced materials and structures. Refereed contributions describing analytical, numerical, and experimental methods and hybrid approaches that combine theoretical and experimental techniques in the study of advanced materials and structures are published, along with critical surveys of the literature and discussions of papers in the field. Mechanics of layered structures, with layers of any materials (metallic, foams, piezoelectric, composites, ceramic, functionally graded, etc.) at various scales, milli/micro/nano-meter is of MAMS interest. Applications to structures subjected to mechanical, thermal, electrical, magnetical, hygrothermal, etc., as well as any coupled combinations of these all are of interests for MAMS. That is mechanics of multi-fields problems at various scale are of interest for MAMS, including fluid-strictures interactions.Static and dynamic as well linear and nonlinear problems are of interest; advanced development of new materials with applications to automotive, civil, marine, aeronautical, space and bioengineering structures at various scales are of interest of this journal. Of special interest are methods and techniques for a better understanding of mechanics of metamaterials as well as the interaction with additive manufacturing technologies.        "
76,Water Science and Engineering,"      Water Science and Engineering journal is an international, peer-reviewed research publication covering new concepts, theories, methods, and techniques related to water issues. The journal aims to publish research that helps advance the theoretical and practical understanding of water resources, aquatic environment, aquatic ecology, and water engineering, with emphases placed on the innovation and applicability of science and technology in large-scale hydropower project construction, large river and lake regulation, inter-basin water transfer, hydroelectric energy development, ecological restoration, the development of new materials, and sustainable utilization of water resources.        "
77,International Journal of Smart and Nano Materials,"      The central aim of International Journal of Smart and Nano Materials is to publish original results, critical reviews, technical discussion, and book reviews related to this compelling research field: smart and nano materials, and their applications. The papers published in this journal will provide cutting edge information and instructive research guidance, encouraging more scientists to make their contribution to this dynamic research field.        "
78,Journal of Performance of Constructed Facilities,"      The Journal of Performance of Constructed Facilities attempts to improve the quality of the constructed product through interdisciplinary communication. Papers examine the causes and consequences of failures and other performance problems.The principal purpose of the Journal is to disseminate information on failures and performance deficiencies of constructed facilities. The term “failures” in this context may mean catastrophic events, but also includes any performance deficiency from which a significant lesson can be learned, such as serviceability problems. Both the technical causes and procedural causes of failures are of interest. Procedural causes include human errors in design, construction, and/or operation that allow the failures to occur.The Journal welcomes manuscripts that deal with failures, methods of investigation of failures, special techniques for failure investigations, reconstruction and repair, and issues of ethics.        "
79,Journal of Rail Transport Planning and Management,"      Journal of Rail Transport Planning & Management aims to stimulate the quality of service for railway passengers and freight customers by improving the knowledge on effectiveness and efficiency of capacity management, timetabling, management and safety of railway operations. It covers the whole range of light rail, metro, heavy and high-speed railway systems. The journal will create a platform for regular transfer of knowledge, new tools and discussion of innovative contributions regarding the analysis of passenger and freight railway transport, estimation of traffic demand and capacity, design of timetables, scheduling of trains and crews, dispatching, signalling, train control, automatic train operation, optimal use of rolling stock and energy in order to increase the efficiency and competitiveness of passenger and freight transport.The journal presents innovative theoretical approaches, high-tech concepts, new technological, financing and business management models and tools that can provide higher flexibility, performance and punctuality of trains operating on dedicated lines and in heterogeneous networks. Journal of Rail Transport Planning & Management integrates the expertise from different scientific disciplines as physical planning, transport modelling, traffic analysis, (system) engineering, mathematics, physics, computer science, economics and (transport) policy analysis.The articles accepted comprise generic theoretical research projects, original concise transport and business plans, pilot technical and economic feasibility analyses, as well as genuine impact assessment studies in the railway domain.        "
80,Natural Hazards Review,"      The Natural Hazards Review addresses the range of events, processes, and consequences that occur when natural hazards interact with the physical, social, economic, and engineered dimensions of communities and the people who live, work, and play in them. As these conditions interact and change, the impact on human communities increases in size, scale, and scope. Such interactions necessarily need to be analyzed from an interdisciplinary perspective that includes both social and technical measures. For decision makers, the risk presents the challenge of managing known hazards, but unknown consequences in time of occurrence, scale of impact, and level of disruption in actual communities with limited resources. The journal is dedicated to bringing together the physical, social, and behavioral sciences; engineering; and the regulatory and policy environments to provide a forum for cutting edge, holistic, and cross-disciplinary approaches to anticipating risk, loss, and cost reduction from natural hazards. The journal welcomes rigorous research on the intersection between social and technical systems that advances concepts of resilience within lifeline and infrastructure systems and the organizations that manage them for all hazards. It offers a professional forum for researchers and practitioners working together to publish the results of truly interdisciplinary and partnered approaches to the anticipation of risk, loss reduction, and community resilience. Engineering topics covered include the characterization of hazard forces and the planning, design, construction, maintenance, performance, and use of structures in the physical environment. Social and behavioral sciences topics include analysis of the impact of hazards on communities and the organizations that seek to mitigate and manage response to hazards.         "
81,Zhongguo Kuangye Daxue Xuebao/Journal of China University of Mining and Technology,      Information not localized        
82,Mechanics Research Communications,"      Mechanics Research Communications publishes, as rapidly as possible, peer-reviewed manuscripts of high standards but restricted length. It aims to provide:• a fast means of communication• an exchange of ideas among workers in mechanics• an effective method of bringing new results quickly to the public• an informal vehicle for the discussion• of ideas that may still be in the formative stagesThe field of Mechanics will be understood to encompass the behavior of continua, fluids, solids, particles and their mixtures. Submissions must contain a strong, novel contribution to the field of mechanics, and ideally should be focused on current issues in the field involving theoretical, experimental and/or applied research, preferably within the broad expertise encompassed by the Board of Associate Editors. Deviations from these areas should be discussed in advance with the Editor-in-Chief.        "
83,Ground Water Monitoring and Remediation,"      Since its inception in 1981, Groundwater Monitoring & Remediation® has been a resource for researchers and practitioners in the field. It is a quarterly journal that offers the best in application oriented, peer-reviewed papers together with insightful articles from the practitioner's perspective. Each issue features papers containing cutting-edge information on treatment technology, columns by industry experts, news briefs, and equipment news. GWMR plays a unique role in advancing the practice of the groundwater monitoring and remediation field by providing forward-thinking research with practical solutions.         "
84,Journal of Hydro-Environment Research,"      The journal aims to provide an international platform for the dissemination of research and engineering applications related to water and hydraulic problems in the Asia-Pacific region. The journal provides a wide distribution at affordable subscription rate, as well as a rapid reviewing and publication time. The journal particularly encourages papers from young researchers.Papers that require extensive language editing, qualify for editorial assistance with American Journal Experts, a Language Editing Company that Elsevier recommends. Authors submitting to this journal are entitled to a 10% discount.        "
85,HardwareX,"      HardwareX is an open access journal established to promote free and open source designing, building and customizing of scientific infrastructure (hardware). HardwareX aims to recognize researchers for the time and effort in developing scientific infrastructure while providing end-users with sufficient information to replicate and validate the advances presented. HardwareX is open to input from all scientific, technological and medical disciplines. Scientific infrastructure will be interpreted in the broadest sense. Including hardware modifications to existing infrastructure, sensors and tools that perform measurements and other functions outside of the traditional lab setting (such as wearables, air/water quality sensors, and low cost alternatives to existing tools), and the creation of wholly new tools for either standard or novel laboratory tasks. Authors are encouraged to submit hardware developments that address all aspects of science, not only the final measurement, for example, enhancements in sample preparation and handling, user safety, and quality control. The use of distributed digital manufacturing strategies (e.g. 3-D printing) is encouraged. All designs must be submitted under an open hardware license.        "
86,Journal of Hydraulic Research/De Recherches Hydrauliques,"      The Journal of Hydraulic Research (JHR) is the flagship journal of the International Association for Hydro-Environment Engineering and Research (IAHR). It publishes research papers in theoretical, experimental and computational hydraulics and fluid mechanics, particularly relating to rivers, lakes, estuaries, coasts, constructed waterways, and some internal flows such as pipe flows. To reflect current tendencies in water research, outcomes of interdisciplinary hydro-environment studies with a strong fluid mechanical component are especially invited. Although the preference is given to the fundamental issues, the papers focusing on important unconventional or emerging applications of broad interest are also welcome.        "
87,Fusion Engineering and Design,"      The journal accepts papers about experiments (both plasma and technology), theory, models, methods, and designs in areas relating to technology, engineering, and applied science aspects of magnetic and inertial fusion energy. Specific areas of interest include: MFE and IFE design studies for experiments and reactors; fusion nuclear technologies and materials, including blankets and shields; analysis of reactor plasmas; plasma heating, fuelling, and vacuum systems; drivers, targets, and special technologies for IFE, controls and diagnostics; fuel cycle analysis and tritium reprocessing and handling; operations and remote maintenance of reactors; safety, decommissioning, and waste management; economic and environmental analysis of components and systems.        "
88,Journal of Traffic and Transportation Engineering (English Edition),"      As an academic journal, the Journal of Traffic and Transportation Engineering (English Edition) provides a platform for the exchange and discussion of novel and creative ideas on theoretical and experimental research in the field of transportation. This journal publishes high-quality peer-reviewed papers on engineering, planning, management, and information technology for transportation. The journal is committed to rapid peer review and publication.The scope of the Journal of Traffic and Transportation Engineering (English Edition) includes:• Road engineering, railway engineering, and bridge and tunnel engineering• Automotive engineering, design, manufacture, and operation of vehicles• Air transportation, maritime transportation, road transportation, and railway transportation• Analysis, operation, optimization, and planning of transportation systems and networks• Travel behavior, information technology, traffic control, and traffic flow theory• Economics, safety, and management of transportation• Multimodal transportation and logistics research• Intelligent transport systems• Materials science        "
89,Journal of Hydroinformatics,"      Journal of Hydroinformatics is a peer-reviewed journal devoted to the application of information technology in the widest sense to problems of the aquatic environment. It promotes Hydroinformatics as a cross-disciplinary field of study, combining technological, human-sociological and more general environmental interests, including an ethical perspective.Contributions will be published in the following areas:Physically-based simulation modellingNumerical methodsData-driven modelling and managementArtificial neural networksEvolutionary methodsCellular automataModelling systemsGeographic information systems (GIS) and virtual imagingEcology and water quality modellingEnvironmental impact assessmentKnowledge engineering and managementSocio-economic frameworkIntelligent decision support, negotiation and managementEducation and trainingInternet-based applicationsOptimisation and controlRisk analysis, fuzzy logic and management of uncertaintyTools, environments and languages.        "
90,Yanshilixue Yu Gongcheng Xuebao/Chinese Journal of Rock Mechanics and Engineering,"      CJRME (Chinese Journal of Rock Mechanics and Engineering) started in 1982. It is an academic publication under the auspice of Chinese Society for Rock Mechanics and Engineering which published monthly mainly in Chinese. Its main scope is focused on the issues of rock mechanics and rock engineering, furthermore, it provides opportunities for overseas colleagues to obtain the current development informations of rock mechanics and geotechnical engineering in China. The topics of CJRSM coveres theories, new developments, methods, experiences, in-situ and laboratory tests, and trends of rock mechanics and geotechnical engineering in China and overseas.Recently, the Journal published several special issues related to the significant projects in China Such as Three Gorges Project, Jinping I and II Hydropower Station, Qinghai-Tibet Railway, West Route of South-North Water Transfer Project etc.. The Journal reports latest developments in rock mechanics and rock engineering development in detail, and forcefully prompts the technological development in relative fields.         "
91,Journal of Civil Engineering Education,
92,International Journal of Structural Stability and Dynamics,"      The aim of this journal is to provide a unique forum for the publication and rapid dissemination of original research on stability and dynamics of structures. Papers that deal with conventional land-based structures, aerospace structures, marine structures, as well as biostructures and micro- and nano-structures are considered. Papers devoted to all aspects of structural stability and dynamics (both transient and vibration response), ranging from mathematical formulations, novel methods of solutions, to experimental investigations and practical applications in civil, mechanical, aerospace, marine, bio- and nano-engineering will be published.The important subjects of structural stability and structural dynamics are placed together in this journal because they share somewhat fundamental elements. In recognition of the considerable research interests and recent proliferation of papers in these subjects, it is hoped that the journal may help bring together papers focused on related subjects, including the state-of-the-art surveys, so as to provide a more effective medium for disseminating the latest developments to researchers and engineers.This journal features a section for technical notes that allows researchers to publish their initial findings or new ideas more speedily. Discussions of papers and concepts will also be published so that researchers can have a vibrant and timely communication with others.        "
93,Structural Engineering and Mechanics,"      The STRUCTURAL ENGINEERING AND MECHANICS, An International Journal, aims at: providing a major publication channel for structural engineering, wider distribution at more affordable subscription rates; faster reviewing and publication for manuscripts submitted; and a broad scope for wider participation.The main subject of the Journal is structural engineering concerned with aspects of mechanics. Areas covered by the Journal include:- Structural Mechanics- Design of Civil, Building and Mechanical Structures- Structural Optimization and Controls- Structural Safety and Reliability- New Structural Materials and Applications- Effects of Wind, Earthquake and Wave Loadings on Structures- Fluid-Structure and Soil-Structure Interactions- AI Application and Expert Systems in Structural Engineering. Submission of papers from practicing engineers is particularly encouraged.        "
94,Yantu Lixue/Rock and Soil Mechanics,"      The coverage of the journal  includes the rock mechanics, soil mechanics , geotechnical engineering , new testing techniques and methods , and the latest academic trends and achievement, etc.         "
95,Advances in Structural Engineering,"      Advances in Structural Engineering is a peer-reviewed journal that aims to provide a major publication channel for cutting-edge research on civil engineering structures (e.g. bridges, buildings and offshore platforms) in areas of significant current interest to the international structural engineering community. The current focus areas of the journal, which are periodically reviewed by the editors, are as follows:(a) Structural use of composite and other emerging materials;(b) Behavior of structural systems;(c) Structures under extreme conditions (e.g. earthquakes, strong winds, fires and blasts etc.);(d) Performance-based structural engineering;(e) Life-cycle structural engineering;(f) Structural health monitoring for performance assessment; and(g) Sustainability in structural engineering.Notwithstanding these focus areas, papers of significant impact or lasting value in other areas of structural engineering are also welcome.Acceptance of a paper for publication in the journal is subjected to the manuscript being an unpublished work presenting a significant original contribution or an in-depth state-of-the-art review of a specific topic of significant current interest to the journal’s readership. Apart from full-length papers, short technical notes, discussions, and book reviews may also be published.        "
96,"Journal of Waterway, Port, Coastal and Ocean Engineering","      The Journal of Waterway, Port, Coastal, and Ocean Engineering disseminates to the profession engineering and scientific advances made in the COPRI disciplines. The journal is a strong forum for civil engineering disciplines related to ocean, coastal and riverine waters as well as the interaction of these waters and the adjacent built and natural environments. This broad scope makes the Journal an ideal choice for the publication and dissemination of archival contributions dealing with important related topics. Topics include dredging, floods, sediment transport, tides, wind waves and storm surge, tsunamis, climate change, rising sea level, extreme weather events and other hazards that affect shorelines, waterways, estuaries, and ports and harbors, as well as efforts to mitigate the impact of such hazards. Of equal interest is the development and operation of offshore facilities and ocean resource utilization, such as renewable energy and ocean mining. Types of publications include original journal articles, comprehensive review articles, short technical notes, case studies of special interest to the readership, book reviews, and special issues on selected topics.        "
97,Geomechanics and Engineering,"      The Geomechanics and Engineering aims at opening an easy access to the valuable source of information and providing an excellent publication channel for the global community of researchers in the geomechanics and its applications.Typical subjects covered by the journal include:- Analytical, computational, and experimental multiscale and interaction mechanics- Computational and Theoretical Geomechnics- Foundations- Tunneling- Earth Structures- Site Characterization- Soil-Structure Interactions        "
98,"Wind and Structures, An International Journal","      The WIND AND STRUCTURES, An International Journal, aims at: - Major publication channel for research in the general area of wind and structural engineering, - Wider distribution at more affordable subscription rates; - Faster reviewing and publication for manuscripts submitted.The main theme of the Journal is the wind effects on structures. Areas covered by the journal include: Wind loads and structural response, Bluff-body aerodynamics, Computational method, Wind tunnel modeling, Local wind environment, Codes and regulations, Wind effects on large scale structures.        "
